back_dock_nearby.wav,"Het oplaad station is niet bereikbaar,verwijder eventuele obstakels!"
bin_in.wav,"opvangbak geplaatst."
bin_out.wav,"opvangbak verwijderd."
binout_error10.wav,"opvangbak verwijderd,maak het filter schoon!"
bl_recovery_bootfailed.wav,"Herstel opstart mislukt."
bl_recovery_failed.wav,"Herstel mislukt."
bl_recovery_retry.wav,"Nieuwe poging tot herstel"
bl_recovery_start.wav,"Herstel start"
bl_recovery_updatefailed.wav,"Herstel update mislukt"
charging.wav,"Opladen"
clean_bin.wav,"Opvangbak schoonmaken"
clean_finish.wav,"Klaar met schoonmaken"
error1.wav,"Fout 1, Kijk of de oranje kop van de leeser-unit kan draaien."
error2.wav,"Fout 2, Maak de botsing sensoren schoon en beweeg ze licht."
error3.wav,"Fout 3, Verplaats het apparaat naar een andere plek en start opnieuw"
error4.wav,"Fout 4, Maak de sensoren schoon, verplaats het apparaat naar een andere plek en start opnieuw"
error5.wav,"Fout 5, Maak de lagers van de hoofd borstol schoon"
error6.wav,"Fout 6, Verwijder de zij borstol en maak deze schoon"
error7.wav,"Fout 7, Zorg dat de wielen niet geblokkeerd zijn, verplaats het apparaat naar een andere plek en start opnieuw"
error8.wav,"Fout 8, Verwijder alle obstakels rondom het apparaat"
error9.wav,"Fout 9, Plaats de opvangbak met het filter"
error10.wav,"Fout 10, Maak het filter schoon, of vervang het"
error11.wav,"Fout 11, Sterk magnetisch veld gedetecteerd, plaats het apparaat verder van de virtuele muur en probeer opnieuw"
error12.wav,"Fout 12, Akku bijna leeg, laadt het apparaat op"
error13.wav,"Fout 13, Opladen is mislukt. Zorg dat de oplaad contacten schoon zijn."
error14.wav,"Fout 14, De akku functioneert niet goed"
error15.wav,"Fout 15, Maak de muur sensor schoon"
error16.wav,"Fout 16, Plaats het apparaat op een vlakke ondergrond en start opnieuw"
error17.wav,"Fout 17, De zij borstol functioneert niet goed, Herstart het apparaat."
error18.wav,"Fout 18, De stofzuig ventilator functioneert niet goed, Herstart het apparaat."
error19.wav,"Fout 19, Het oplaad station heeft geen stroom, controleer de stekker"
error_internal.wav,"Er is een interne fout opgetreden, herstart het apparaat"
findme.wav,"Hallo! Hier ben ik!"
finish.wav,"Klaar met schoonmaken."
home.wav,"Terug naar het oplaad station."
no_power_charging.wav,"Akku niet vol genoeg, langer opladen"
no_power.wav,"Akku bijna leeg, terugkeren naar het oplaad station."
no_spot_on_dock.wav,"Plaats het apparaat op de vloer voor het starten van de plaatselijke schoonmaak."
pause.wav,"Gepauzeerd."
power_off_rejected.wav,"Verwijder het apparaat van het oplaad station om het uit te schakelen."
power_off.wav,"Uitschakelen."
power_resume_clean.wav,"Akku opgeladen, schoonmaken wordt hervat."
remote_complete.wav,"De bediening op afstand is niet meer aktief."
remote.wav,"Bediening op afstand is aktief"
restart_clean.wav,"Positie is onbekend, start nieuwe schoonmaak."
resume_clean.wav,"Schoonmaak hervatten."
resume_home.wav,"Terugkeren naar het oplaad station."
return_no.wav,"Terugkeren naar het startpunt mislukt."
return_yes.wav,"Oplaadstation is onvindbaar, plaats het apparaat dichterbij en probeer opnieuw."
spot.wav,"Lokale schoonmaak"
start.wav,"Start de schoonmaak."
stop_spot.wav,"Klaar met de lokale schoonmaak."
stop.wav,"Klaar met schoonmaken."
sysupd_complete.wav,"Software-update is geslaagd."
sysupd_failed.wav,"Software-update is niet gelukt, de huidige versie blijft aktief"
sysupd_notready.wav,"Probeer de update opnieuw als de akku tenminste 20% is opgeladen."
sysupd_start.wav,"Start met software update. Dit duurt 5 tot 10 minuten."
sysupd_wip.wav,"Wacht alstublieft tot de update klaar is."
timed_clean.wav,"Start een geplande schoonmaak."
wifi_reset.wav,"Reset van de Wi-Fi"
goto.wav,"Naar het opgegeven punt."
goto_complete.wav,"Aangekomen bij het opgegeven punt."
goto_failed.wav,"Kon opgegeven punt niet bereiken."
relocate_failed.wav,"Positie is onduidelijk."
resume_zone.wav,"Zone schoonmaak hervatten."
stop_goto.wav,"Naar opgegeven punt gaan is onderbroken."
stop_zone.wav,"Zone schoonmaak is klaar."
zone.wav,"Zone schoonmaak starten."
<<<<<<< HEAD
zone_complete.wav,"Zone schoonmaak is klaar, terugkeren naar het oplaadstation."
zone_failed.wav,"Zone schoonmaak is klaar, terugkeren naar het oplaadstation. Sommige plekken konden niet worden bereikt."
=======
zone_complete.wav,"Zone schoonmaak is klaar,"terugkeren naar het oplaadstation.""
zone_failed.wav,"Zone schoonmaak is klaar,"terugkeren naar het oplaadstation. Sommige plekken konden niet worden bereikt.""
>>>>>>> 49ed0e338d9274589e53b50da12a7fca3a55124e
